iter	Passed	Remaining
0	25	5147
1	53	5261
2	80	5293
3	104	5098
4	128	4992
5	151	4892
6	173	4776
7	197	4740
8	223	4748
9	249	4747
10	275	4736
11	302	4744
12	328	4720
13	354	4708
14	383	4729
15	410	4718
16	435	4686
17	464	4694
18	492	4692
19	519	4674
20	544	4641
21	567	4589
22	590	4546
23	612	4493
24	636	4455
25	660	4417
26	672	4311
27	696	4276
28	720	4251
29	729	4131
30	754	4112
31	779	4090
32	803	4067
33	827	4039
34	852	4017
35	878	4000
36	903	3982
37	929	3961
38	956	3947
39	981	3925
40	1007	3905
41	1032	3885
42	1056	3856
43	1077	3821
44	1103	3801
45	1128	3776
46	1154	3759
47	1179	3736
48	1206	3718
49	1232	3697
50	1257	3673
51	1281	3648
52	1307	3626
53	1332	3603
54	1360	3585
55	1385	3562
56	1408	3534
57	1432	3506
58	1454	3475
59	1477	3448
60	1500	3418
61	1524	3394
62	1527	3321
63	1551	3297
64	1578	3277
65	1602	3252
66	1625	3227
67	1648	3199
68	1670	3172
69	1693	3145
70	1715	3117
71	1739	3092
72	1761	3064
73	1783	3036
74	1806	3010
75	1827	2982
76	1850	2956
77	1872	2928
78	1895	2902
79	1918	2877
80	1941	2852
81	1966	2829
82	1988	2802
83	2012	2778
84	2034	2752
85	2056	2726
86	2079	2700
87	2101	2674
88	2123	2648
89	2146	2623
90	2177	2608
91	2204	2588
92	2231	2567
93	2234	2519
94	2247	2484
95	2271	2460
96	2293	2435
97	2315	2410
98	2337	2384
99	2359	2359
100	2382	2335
101	2405	2310
102	2427	2285
103	2449	2260
104	2473	2237
105	2495	2212
106	2519	2189
107	2541	2164
108	2563	2140
109	2586	2116
110	2610	2093
111	2635	2070
112	2657	2045
113	2679	2021
114	2700	1996
115	2722	1971
116	2744	1946
117	2766	1922
118	2787	1897
119	2835	1890
120	2873	1876
121	2910	1860
122	2944	1843
123	2974	1822
124	3005	1803
125	3033	1781
126	3058	1758
127	3086	1736
128	3113	1713
129	3138	1690
130	3166	1667
131	3190	1643
132	3214	1619
133	3236	1594
134	3259	1569
135	3280	1543
136	3304	1519
137	3326	1494
138	3347	1469
139	3349	1435
140	3370	1410
141	3372	1377
142	3394	1353
143	3416	1328
144	3437	1303
145	3459	1279
146	3479	1254
147	3500	1230
148	3522	1205
149	3544	1181
150	3565	1157
151	3587	1132
152	3609	1108
153	3631	1084
154	3654	1060
155	3676	1037
156	3699	1013
157	3720	988
158	3740	964
159	3761	940
160	3784	916
161	3805	892
162	3826	868
163	3838	842
164	3860	818
165	3881	794
166	3903	771
167	3924	747
168	3945	723
169	3967	700
170	3989	676
171	4012	653
172	4033	629
173	4055	605
174	4076	582
175	4125	562
176	4171	542
177	4207	520
178	4242	497
179	4272	474
180	4301	451
181	4333	428
182	4361	405
183	4388	381
184	4416	358
185	4440	334
186	4465	310
187	4488	286
188	4512	262
189	4534	238
190	4557	214
191	4581	190
192	4603	166
193	4627	143
194	4649	119
195	4675	95
196	4698	71
197	4723	47
198	4746	23
199	4768	0
